"order_id","order_delivered_customer_date","order_status","product_category_name","payment_value","customer_zip_code_prefix","customer_unique_id","customer_city","customer_state","lat","lng","review_score"
"00061f2a7bc09da83e415a52dc8a4af1",2018-03-29 00:04:19,delivered,beleza_saude,68.87,13419,"107e6259485efac66428a56f10801f4f",piracicaba,SP,-23.55639831,-46.64372029,5
"0014ae671de39511f7575066200733b7",2017-06-07 13:52:52,delivered,telefonia,30.6,83325,"8e5a8d9363eb6296154b65750c8702ca",pinhais,PR,-23.49129497,-46.63858246,5
"0046176ff0dbc2a178b7885355dfbb71",2018-06-04 18:18:29,delivered,consoles_games,137.72,34007,"58a7135fcd46147533c2f50747435ec2",nova lima,MG,-23.56917824,-46.63529959,5
"008819c6d5f6da6fa5cd9d50ca927cf4",2018-08-07 20:12:22,delivered,relogios_presentes,62.65,2012,f3591ae7686317e84ebbf646bedf3e24,sao paulo,SP,-23.54779463,-46.63023792,3
"00975e709cd12c34d3bd44e4a7f7a876",2017-08-23 23:04:17,delivered,cool_stuff,94.66,13344,ebcca806966fdf4317d0741eeee16004,indaiatuba,SP,-23.55750677,-46.66111662,5
"0097f0545a302aafa32782f1734ff71c",2018-03-21 18:16:52,delivered,ferramentas_jardim,507.84,3908,dd12487859031219d411baa6f6ac20f5,sao paulo,SP,-23.51743977,-46.67461057,1
"0097f0545a302aafa32782f1734ff71c",2018-03-21 18:16:52,delivered,ferramentas_jardim,507.84,3908,dd12487859031219d411baa6f6ac20f5,sao paulo,SP,-23.51743977,-46.67461057,1
"00a250dbdb3153cc6ecf4d3f07ef6a17",2017-12-14 17:47:58,delivered,perfumaria,61.77,12233,"8004f80e361a5ee23aadb7418a685fc2",sao jose dos campos,SP,-23.5529624,-46.65553812,2
"00c95282163553a982f38481f9488481",2017-08-17 20:09:41,delivered,esporte_lazer,64.9,27350,b51d73d8179d999b81550d846940a720,barra mansa,RJ,-23.56393467,-46.67156322,4
"00c95282163553a982f38481f9488481",2017-08-17 20:09:41,delivered,esporte_lazer,20.0,27350,b51d73d8179d999b81550d846940a720,barra mansa,RJ,-23.56393467,-46.67156322,4
"00c95282163553a982f38481f9488481",2017-08-17 20:09:41,delivered,esporte_lazer,20.0,27350,b51d73d8179d999b81550d846940a720,barra mansa,RJ,-23.56393467,-46.67156322,4
"00c95282163553a982f38481f9488481",2017-08-17 20:09:41,delivered,esporte_lazer,20.0,27350,b51d73d8179d999b81550d846940a720,barra mansa,RJ,-23.56393467,-46.67156322,4
"00e1bdb3f1388c8ed222597ee4fa01e7",2017-05-24 05:57:57,delivered,instrumentos_musicais,437.59,94910,c9fb70924f052a5ca6c30588acd6e87b,cachoeirinha,RS,-23.48452364,-46.65540866,1
"00ea33f994bec0bbfda582074083ae12",2018-06-30 16:51:48,delivered,telefonia,108.32,16400,ff994a455350d9f24c79a7482b89dfe6,lins,SP,-23.56241731,-46.67005182,1
"00f1c7c1542f5f86c3091749d9e939d8",2017-12-26 18:14:27,delivered,perfumaria,101.34,35661,d567f29ec5fa447c99e949f337f3a35c,para de minas,MG,-23.56305954,-46.62383321,5
"00f9b6769c6648ac08bf43081d1f2b07",2018-05-25 16:54:36,delivered,informatica_acessorios,89.61,12401,"77d8e34ae93d396ecba7a3b230180620",pindamonhangaba,SP,-23.55666621,-46.65382014,1
"010078e0913f48d014483bd856c01ca1",2017-12-05 22:13:43,delivered,cama_mesa_banho,58.61,4078,"9fedd99d17871d39dd3a65eb45e0d792",sao paulo,SP,-23.54457553,-46.65098175,5
"0124f01177fc17cf20e1974621fd759a",2017-05-22 14:45:54,delivered,informatica_acessorios,202.87,16920,"3de8a3becddf5418bd75a3a695ebb6a3",castilho,SP,-23.56136643,-46.65759387,4
"013d92e415d1de7bf3b3b706f1b6d292",2018-02-20 20:52:57,delivered,cool_stuff,204.07,89240,"8e23478d59ab253ef04d4d2056ebeb93",sao francisco do sul,SC,-23.49212425,-46.67252904,5
"019636907d07b2433be000d9d6bed153",2017-11-23 23:38:51,delivered,cama_mesa_banho,72.75,6814,b120185218db2a74f354de194405aa77,embu das artes,SP,-23.53963955,-46.65038544,5
"019e03014ec20cc2e3b180cdcf90b4e8",2017-05-18 12:55:37,delivered,cool_stuff,764.52,62600,fd9d39fa11a8725fabb15d0ff706251c,itapaje,CE,-23.48306244,-46.56936552,1
"01ac6cbac1cda667c97d35046b75668f",2017-09-18 14:09:25,delivered,informatica_acessorios,21.15,1134,c4e7087fdaff6d26a9b72b4de5ffa937,sao paulo,SP,-23.54466737,-46.64066943,4
